IATA,Countries,Cities
AAA, Polinesia frances,Anaa
AAD, Somalia,Adado
AAE, Argelia,Annaba
AAK, Kiribati,Aranuka
AAL, Dinamarca,Aalborg
AAN, Emiratos Arabes Unidos,Al Ain
AAP, Indonesia,Samarinda
AAQ, Rusia,Anapa
AAR, Dinamarca,Aarhus
AAT, China,Altay
ABA, Rusia,Abakan
ABB, Nigeria,Asaba
ABD, Corri,Abadan
ABE, Estados Unidos,Allentown
ABF, Kiribati,Abaiang
ABI, Estados Unidos,Abilene
ABJ, Costa de Marfil,Abiyan
ABL, Estados Unidos,Ambler
ABM, Australia,Bamaga
ABQ, Estados Unidos,Albuquerque
ABR, Estados Unidos,Aberdeen
ABS, Egipto,Abu Simbel
ABT, Arabia Saudita,Al Bahah
ABU, Indonesia,Atambua
ABV, Nigeria,Abuya
ABX, Australia,Albury
ABY, Estados Unidos,Albany
ABZ, Reino Unido,Aberdeen
ACA, Mexico,Acapulco de Juarez
ACC, Ghana,Acra
ACE, Espana,Lanzarote
ACH, Suiza,Thal
ACI, Guernesey,Alderney
ACK, Estados Unidos,Nantucket
ACP, Corri,Bonab
ACT, Estados Unidos,Waco
ACV, Estados Unidos,Arcata
ACX, China,Xingyi
ACY, Estados Unidos,Atlantic City
ACZ, Corri,Zabol
ADA, pavo,Adana
ADB, pavo,Esmirna
ADD, Etiopia,Adis Abeba
ADE, Yemen,Aden
ADF, pavo,Adyaman
ADK, Estados Unidos,Isla Adak
ADL, Australia,Adelaida
ADQ, Estados Unidos,Kodiak
ADU, Corri,Ardabil
ADZ, Colombia,San Andres
AEA, Kiribati,Abemama Atoll
AEB, China,Baise
AEH, Chad,Abeche
AEM, Rusia,Amgu
AEP, Argentina,Buenos Aires
AER, Rusia,Sochi
AES, Noruega,Alesund
AET, Estados Unidos,Allakaket
AEU, Corri,Abu Musa
AEX, Estados Unidos,Alexandria
AEY, Islandia,Akureyri
AFA, Argentina,San Rafael
AFL, Brasil,Alta Floresta
AFZ, Corri,Sabzevar
AGA, Marruecos,Agadir
AGB, Alemania,Munich
AGH, Suecia,Angelholm
AGM, Groenlandia,Tasiilaq
AGN, Estados Unidos,Angoon
AGP, Espana,Malaga
AGR, India,Agra
AGS, Estados Unidos,Augusta
AGU, Mexico,Aguascalientes
AGX, India,Isla Agatti
AHB, Arabia Saudita,Abha
AHE, Polinesia frances,Ahe
AHJ, China,Aba Hongyuan
AHO, Italia,Alguer
AHU, Marruecos,Alhucemas
AIA, Estados Unidos,Alliance
AIC, Islas Marshall,Airok
AIN, Estados Unidos,Wainwright
AIP, India,Jalandhar
AIR, Brasil,Aripuana
AIS, Kiribati,Arorae Island
AIT, Islas Cook,Aitutaki
AJA, Francia,Ajaccio
AJF, Arabia Saudita,Provincia de Yauf
AJI, pavo,Agr
AJL, India,Aizawl
AJN, Comoras,Anjouan
AJR, Suecia,Arvidsjaur
AJU, Brasil,Aracaju
AJY, Niger,Agadez
AKA, China,Ankang
AKF, Libia,Kufrah
AKI, Estados Unidos,Akiak
AKJ, Japon,Asahikawa
AKK, Estados Unidos,Akhiok
AKL, Nueva Zelanda,Auckland
AKN, Estados Unidos,King Salmon
AKP, Estados Unidos,Anaktuvuk Pass
AKR, Nigeria,Akure
AKS, Islas Salomon,Auki
AKU, China,Ciudad de Aksu
AKV, Canada,Akulivik
AKX, Kazajstan,Aktobe
AKY, Myanmar (Burma),Sittwe
ALA, Kazajstan,Almaty
ALB, Estados Unidos,Albany
ALC, Espana,Alicante
ALF, Noruega,Alta
ALG, Argelia,Argel
ALH, Australia,Albany
ALO, Estados Unidos,Waterloo
ALP, Siria,Aleppo
ALQ, Brasil,
ALS, Estados Unidos,Alamosa
ALW, Estados Unidos,Walla Walla
ALY, Egipto,Alexandria
ALZ, Estados Unidos,Lazy Bay
AMA, Estados Unidos,Amarillo
AMD, India,Ahmedabad
AMH, Etiopia,Arba Minch
AMM, Jordan,Aman
AMQ, Indonesia,Ambon
AMS, Paises Bajos,Amsterdam
ANA, Kenia,Masai Mara
ANC, Estados Unidos,Anchorage
ANF, Chile,Antofagasta
ANI, Estados Unidos,Aniak
ANR, Belgica,Bruselas
ANU, Antigua y Barbuda,Isla Antigua
ANV, Estados Unidos,Anvik
ANX, Noruega,Andenes
AOE, pavo,Eskisehir
AOG, China,Anshan
AOI, Italia,Ancona
AOJ, Japon,Aomori
AOK, Grecia,Karpathos
AOO, Estados Unidos,Altoona
AOQ, Groenlandia,Aappilattoq
AOR, Malasia,Alor Setar
AOS, Estados Unidos,Amook Bay
APK, Polinesia frances,Apataki
APL, Mozambique,Nampula
APN, Estados Unidos,Alpena
APO, Colombia,Apartado
APW, Samoa,Apia
AQG, China,Anqing
AQI, Arabia Saudita,Qaisumah
AQJ, Jordan,Aqaba
AQP, Peru,Arequipa
ARC, Estados Unidos,Arctic Village
ARD, Indonesia,Alor Island
ARH, Rusia,Arcangel
ARI, Chile,Arica
ARK, Tanzania,Arusha
ARM, Australia,Armidale
ARN, Suecia,Estocolmo
ART, Estados Unidos,Watertown
ARU, Brasil,Aracatuba
ARX, Brasil,Aracati
ASB, Turkmenistan,Asjabad
ASE, Estados Unidos,Aspen
ASF, Rusia,Astracan
ASJ, Japon,Amami
ASM, Eritrea,Asmara
ASO, Etiopia,Asosa
ASP, Australia,Alice Springs
ASR, pavo,Kayseri
ASS, Sudafrica,Arathusa Safari Lodge
ASU, Paraguay,Asuncion
ASV, Kenia,Amboseli National Park
ASW, Egipto,Asuan
ATD, Islas Salomon,Atoifi
ATH, Grecia,Atenas
ATK, Estados Unidos,Atqasuk
ATL, Estados Unidos,Atlanta
ATM, Brasil,Altamira
ATQ, India,Amritsar
ATT, Estados Unidos,Atmautluak
ATW, Estados Unidos,Appleton
ATY, Estados Unidos,Watertown
ATZ, Egipto,Asiut
AUA, Aruba,Aruba
AUC, Colombia,Arauca
AUG, Estados Unidos,Augusta
AUH, Emiratos Arabes Unidos,Abu Dabi
AUQ, Polinesia frances,Hiva Oa
AUR, Francia,Aurillac
AUS, Estados Unidos,Austin
AUU, Australia,Aurukun
AUX, Brasil,Araguaina
AUY, Vanuatu,Aneityum
AVA, China,Anshun
AVL, Estados Unidos,Asheville
AVN, Francia,Avinon
AVP, Estados Unidos,Wilkes-Barre
AVV, Australia,Melbourne
AWA, Etiopia,Awasa
AWD, Vanuatu,Aniwa Island
AWZ, Corri,Ahwaz
AXA, Anguilla,Anguilla
AXD, Grecia,Alejandropolis
AXF, China,Alxa
AXJ, Japon,Amakusa
AXM, Colombia,Armenia
AXP, Bahamas,Spring Point
AXR, Polinesia frances,Arutua
AXT, Japon,Akita
AYM, Emiratos Arabes Unidos,Yas Island
AYP, Peru,Ayacucho
AYQ, Australia,Uluru
AYT, pavo,Antalya
AZA, Estados Unidos,Phoenix
AZD, Corri,Yazd
AZN, Uzbekistan,Andizhan
AZO, Estados Unidos,Kalamazoo
AZR, Argelia,Adrar
AZS, Republica Dominicana,Santa Barbara de Samana
BAH, Bahrein,Bahrain Island
BAL, pavo,Batman
BAQ, Colombia,Barranquilla
BAR, China,Qionghai
BAS, Islas Salomon,Balalae Island
BAV, China,Baotou
BAX, Rusia,Barnaul
BAY, Rumania,Baia Mare
BBA, Chile,Balmaceda
BBG, Kiribati,Butaritari Atoll
BBI, India,Bhubaneshwar
BBK, Botswana,Kasane
BBN, Malasia,Bario
BBO, Somalia,Berbera
BCD, Filipinas,Bacolod
BCI, Australia,Barcaldine
BCM, Rumania,Bacau
BCN, Espana,Barcelona
BCO, Etiopia,Jinka
BCU, Nigeria,Bauchi
BDA, islas Bermudas,Bermuda
BDB, Australia,Bundaberg Region
BDD, Australia,Badu Island
BDH, Corri,Bandar Lengeh
BDJ, Indonesia,Banjarmasin
BDL, Estados Unidos,Hartford
BDO, Indonesia,Bandung
BDP, Mechi,Bhadrapur
BDQ, India,Vadodara
BDS, Italia,Brindisi
BDU, Noruega,Andselv
BEB, Reino Unido,Benbecula
BEF, Nicaragua,Bluefields
BEG, Serbia,Belgrado
BEJ, Indonesia,Tanjung Redeb
BEK, India,Bareilly
BEL, Brasil,Belem
BEN, Libia,Benghazi
BER, Alemania,Berlin
BES, Francia,Brest
BET, Estados Unidos,Bethel
BEU, Australia,Bedourie
BEW, Mozambique,Beira
BEY, Libano,Beirut
BEZ, Kiribati,Beru Island
BFD, Estados Unidos,Bradford
BFF, Estados Unidos,Scottsbluff
BFI, Estados Unidos,Seattle
BFJ, China,Bijie
BFL, Estados Unidos,Bakersfield
BFN, Sudafrica,Bloemfontein
BFS, Reino Unido,Belfast
BFV, Tailandia,Provincia de Buri Ram
BFX, Camerun,Bafoussam
BGA, Colombia,Bucaramanga
BGC, Portugal,Braganca
BGF, Republica Centroafricana,Bangui
BGG, pavo,Bingol
BGI, Barbados,Bridgetown
BGM, Estados Unidos,Binghamton
BGN, Sakha Republic,Belaya Gora
BGO, Noruega,Bergen
BGR, Estados Unidos,Bangor
BGW, Irak,Bagdad
BGX, Brasil,Bage
BGY, Italia,Milan
BHB, Estados Unidos,Bar Harbor
BHD, Reino Unido,Belfast
BHE, Nueva Zelanda,Blenheim
BHH, Arabia Saudita,Bisha
BHI, Argentina,Bahia Blanca
BHJ, India,Bhuj
BHK, Uzbekistan,Bujara
BHM, Estados Unidos,Birmingham
BHO, India,Bhopal
BHQ, Australia,Broken Hill
BHR, Nepal,Bharatpur
BHS, Australia,Bathurst
BHU, India,Bhavnagar
BHV, Pakistan,Bahawalpur
BHX, Reino Unido,Birmingham
BHY, China,Beihai
BIA, Francia,Bastia
BIB, Somalia,Baidoa
BIC, Francia,
BIH, Estados Unidos,Bishop
BIK, Indonesia,Biak
BIL, Estados Unidos,Billings
BIM, Bahamas,Bimini
BIO, Espana,Bilbao
BIQ, Francia,Biarritz
BIR, Nepal,Biratnagar
BIS, Estados Unidos,Bismarck
BJA, Argelia,Bugia
BJB, Corri,Bojnord
BJF, Noruega,Batsfjord
BJI, Estados Unidos,Bemidji
BJL, Gambia,Banjul
BJM, Burundi,Buyumbura
BJR, Etiopia,Bahir Dar
BJV, pavo,Bodrum
BJW, Indonesia,Bajawa
BJX, Mexico,Leon
BJZ, Espana,Badajoz
BKB, India,Bikaner
BKC, Estados Unidos,Buckland
BKG, Estados Unidos,Branson
BKI, Malasia,Kota Kinabalu
BKK, Tailandia,Bangkok
BKL, Estados Unidos,Cleveland
BKM, Malasia,Ba kelalan
BKO, mali,Bamako
BKQ, Australia,Blackall
BKS, Indonesia,Bengkulu
BKW, Estados Unidos,Beckley
BKZ, Tanzania,Bukoba
BLA, Venezuela,Barcelona
BLD, Estados Unidos,Las Vegas
BLI, Estados Unidos,Bellingham
BLJ, Argelia,Batna
BLL, Dinamarca,Billund
BLQ, Italia,Bolonia
BLR, India,Bangalore
BLV, Estados Unidos,Belleville
BLZ, Malawi,Blantyre
BMA, Suecia,Estocolmo
BME, Australia,Broome
BMI, Estados Unidos,Bloomington
BMO, Myanmar (Burma),Bhamo
BMU, Indonesia,Bima
BMV, Vietnam,Buon Ma Thuot
BMW, Argelia,Bordj Badji Mokhtar
BMY, Nueva Caledonia,Art Island
BNA, Estados Unidos,Nashville
BND, Corri,Bandar Abbas
BNE, Australia,Brisbane
BNI, Nigeria,Ciudad de Benin
BNK, Australia,Ballina
BNN, Noruega,Brnnysund
BNX, Bosnia-Herzegovina,Bania Luka
BNY, Islas Salomon,Bellona Island
BOB, Polinesia frances,Bora Bora
BOC, Panama,Bocas del Toro
BOD, Francia,Burdeos
BOG, Colombia,Bogota
BOH, Reino Unido,Bournemouth
BOI, Estados Unidos,Boise
BOJ, Bulgaria,Burgas
BOM, India,Mumbai
BON, Caribe Paises Bajos,Bonaire
BOO, Noruega,Bod
BOS, Estados Unidos,Boston
BOY, Burkina Faso,Bobo-Dioulasso
BPE, China,Qinhuangdao
BPG, Brasil,Barra do Garcas
BPL, China,Bole
BPN, Indonesia,Balikpapan
BPS, Brasil,Porto Seguro
BPT, Estados Unidos,Beaumont
BPX, China,Chamdo
BQB, Australia,Busselton
BQJ, Rusia,Batagay
BQK, Estados Unidos,Brunswick
BQL, Australia,Boulia
BQN, Puerto Rico,Aguadilla
BQS, Rusia,Blagoveshchensk
BQW, Australia,Balgo
BRA, Brasil,Barreiras
BRC, Argentina,San Carlos de Bariloche
BRD, Estados Unidos,Brainerd
BRE, Alemania,Bremen
BRI, Italia,Bari
BRK, Australia,Bourke
BRL, Estados Unidos,Burlington
BRM, Venezuela,Barquisimeto
BRO, Estados Unidos,Brownsville
BRQ, Chequia,Brno
BRR, Reino Unido,Barra
BRS, Reino Unido,Bristol
BRT, Australia,Bathurst Island
BRU, Belgica,Bruselas
BRW, Estados Unidos,Barrow
BSA, Somalia,Bosaso
BSB, Brasil,Brasilia
BSC, Colombia,Bahia Solano
BSD, China,Baoshan
BSG, Guinea Ecuatorial,Bata
BSK, Argelia,Biskra
BSL, Suiza,Basilea
BSO, Filipinas,Basco
BSR, Irak,Basora
BTC, Sri Lanka,Batticaloa
BTH, Indonesia,Batam
BTI, Estados Unidos,Barter Island
BTJ, Indonesia,Banda Aceh
BTK, Rusia,Bratsk
BTM, Estados Unidos,Butte
BTR, Estados Unidos,Baton Rouge
BTS, Eslovaquia,Bratislava
BTT, Estados Unidos,Bettles
BTU, Malasia,Bintulu
BTV, Estados Unidos,Burlington
BUA, Papua Nueva Guinea,Buka Island
BUC, Australia,Burketown
BUD, Hungria,Budapest
BUF, Estados Unidos,Bufalo
BUN, Colombia,Buenaventura
BUQ, Zimbabue,Bulawayo
BUR, Estados Unidos,Burbank
BUS, Georgia,Batumi
BUT, Butan,Jakar
BUU, Indonesia,Muara Bungo
BUW, Indonesia,Bau-Bau
BUX, Republica Democratica del Congo,Bunia
BUZ, Corri,Bushehr
BVA, Francia,Paris
BVB, Brasil,Boa Vista
BVC, Cabo Verde,Boa Vista
BVE, Francia,Brive-la-Gaillarde
BVG, Noruega,Berlevag
BVH, Brasil,Vilhena
BVI, Australia,Birdsville
BVJ, Rusia,Bovanenkovo
BVS, Brasil,Breves
BWA, Nepal,Siddharthanagar
BWE, Alemania,Brunswick
BWI, Estados Unidos,Washington D. C.
BWN, Brunei,Bandar Seri Begawan
BWT, Australia,Burnie
BWX, Indonesia,Banyuwangi
BXB, Indonesia,Babo
BXG, Australia,Bendigo
BXR, Corri,Bam
BXU, Filipinas,Butuan
BYC, Bolivia,Yacuiba
BYK, Costa de Marfil,Bouake
BYO, Brasil,Bonito
BYP, Australia,Barimunya
BYR, Dinamarca,Ls
BZA, Nicaragua,Bonanza
BZE, Belice,Ciudad de Belice
BZG, Polonia,Bydgoszcz
BZK, Rusia,Bryansk
BZN, Estados Unidos,Bozeman
BZR, Francia,Beziers
BZV, Republica del Congo,Brazzaville
BZX, China,Enyang
CAC, Brasil,Cascavel
CAE, Estados Unidos,Columbia
CAF, Brasil,Carauari
CAG, Italia,Cagliari
CAH, Vietnam,Ca Mau Province
CAI, Egipto,El Cairo
CAJ, Venezuela,Canaima National Park
CAK, Estados Unidos,Akron
CAL, Reino Unido,Campbeltown
CAN, China,Canton
CAP, Haiti,Cabo Haitiano
CAT, Portugal,Cascais Municipality
CAU, Brasil,Caruaru
CAW, Brasil,Campos dos Goytacazes
CAY, Guayana frances,Cayena
CAZ, Australia,Cobar
CBB, Bolivia,Cochabamba
CBG, Reino Unido,Cambridge
CBH, Argelia,Bechar
CBI, Australia,Cape Barren Island
CBO, Filipinas,Cotabato
CBQ, Nigeria,Calabar
CBR, Australia,Canberra
CBT, Angola,Catumbela
CCC, Cuba,Cayo Coco
CCF, Francia,Carcasona
CCJ, India,Kozhikode
CCK, Cocos (Keeling),Home Island
CCP, Chile,Concepcion
CCS, Venezuela,Caracas
CCU, India,Calcuta
CCV, Vanuatu,Craig Cove
CDB, Estados Unidos,Cold Bay
CDC, Estados Unidos,Cedar City
CDE, China,Chengde
CDG, Francia,Paris
CDP, India,Cuddapah
CDR, Estados Unidos,Chadron
CDT, Espana,Castellon de la Plana
CDV, Estados Unidos,Cordova
CEB, Filipinas,Cebu
CEC, Estados Unidos,Crescent City
CED, Australia,Ceduna
CEE, Rusia,Cherepovets
CEI, Tailandia,Provincia de Chiang Rai
CEK, Rusia,Cheliabinsk
CEN, Mexico,Ciudad Obregon
CEZ, Estados Unidos,Cortez
CFB, Brasil,Cabo Frio
CFE, Francia,Clermont-Ferrand
CFK, Argelia,Chlef
CFN, Irlanda,Donegal
CFR, Francia,Caen
CFS, Australia,Coffs Harbour
CFU, Grecia,Corfu
CGA, Estados Unidos,Craig
CGB, Brasil,Cuiaba
CGD, China,Changde
CGH, Brasil,Sao Paulo
CGI, Estados Unidos,Cape Girardeau
CGK, Indonesia,Yakarta
CGM, Filipinas,Camiguin
CGN, Alemania,Colonia
CGO, China,Zhengzhou
CGP, Bangladesh,Chittagong
CGQ, China,Changchun
CGR, Brasil,Campo Grande
CGY, Filipinas,Cagayan de Oro
CHA, Estados Unidos,Chattanooga
CHC, Nueva Zelanda,Christchurch
CHG, China,Chaoyang
CHH, Peru,Chachapoyas
CHO, Estados Unidos,Charlottesville
CHQ, Grecia,La Canea
CHS, Estados Unidos,Charleston
CHT, Nueva Zelanda,Waitangi
CHU, Estados Unidos,Chuathbaluk
CHX, Panama,Changuinola
CHY, Islas Salomon,Choiseul Bay
CIA, Italia,Roma
CID, Estados Unidos,Cedar Rapids
CIF, China,Ulanhad
CIH, China,Changzhi
CIJ, Bolivia,Cobija
CIK, Estados Unidos,Chalkyitsik
CIT, Kazajstan,Shymkent
CIU, Estados Unidos,Sault Sainte Marie
CIX, Peru,Chiclayo
CIY, Italia,Comiso
CIZ, Brasil,Coari
CJA, Peru,Cajamarca
CJB, India,Coimbatore
CJC, Chile,Calama
CJF, Australia,Coondewanna
CJJ, Corea del Sur,Cheongju
CJL, Pakistan,Chitral
CJM, Tailandia,Provincia de Chumphon
CJS, Mexico,Ciudad Juarez
CJU, Corea del Sur,Ciudad de Jeju
CKB, Estados Unidos,Clarksburg
CKD, Estados Unidos,Crooked Creek
CKG, China,Chongqing
CKH, Rusia,Chokurdakh
CKS, Brasil,Parauapebas
CKX, Estados Unidos,Chicken
CKY, Guinea,Conakri
CKZ, pavo,Canakkale
CLD, Estados Unidos,San Diego
CLE, Estados Unidos,Cleveland
CLJ, Rumania,Cluj-Napoca
CLL, Estados Unidos,College Station
CLO, Colombia,Cali
CLP, Estados Unidos,Clark's Point
CLQ, Mexico,Colima
CLT, Estados Unidos,Charlotte
CLV, Brasil,Caldas Novas
CLY, Francia,Calvi
CMA, Australia,Cunnamulla
CMB, Sri Lanka,Colombo
CME, Mexico,Ciudad del Carmen
CMF, Francia,Chambery
CMG, Brasil,Corumba
CMH, Estados Unidos,Columbus
CMI, Estados Unidos,Champaign
CMK, Malawi,Club Makokola
CMN, Marruecos,Casablanca
CMW, Cuba,Camaguey
CMX, Estados Unidos,Hancock
CNC, Australia,Coconut Island
CND, Rumania,Constanza
CNF, Brasil,Belo Horizonte
CNJ, Australia,Cloncurry
CNM, Estados Unidos,Carlsbad
CNN, India,Kannur
CNP, Groenlandia,Ittoqqortoormiit
CNQ, Argentina,Corrientes
CNS, Australia,Cairns
CNX, Tailandia,Chiang Mai
CNY, Estados Unidos,Moab
COD, Estados Unidos,Cody
COK, India,Cochin
COL, Reino Unido,Coll Island
COO, Benin,Cotonu
COR, Argentina,Cordoba (Argentina)
COS, Estados Unidos,Colorado Springs
COU, Estados Unidos,Columbia
CPC, Argentina,San Martin de los Andes
CPD, Australia,Coober Pedy
CPE, Mexico,San Francisco de Campeche
CPF, Indonesia,Cepu
CPH, Dinamarca,Copenhague
CPO, Chile,Copiapo
CPR, Estados Unidos,Casper
CPT, Sudafrica,Ciudad del Cabo
CPV, Brasil,Campina Grande
CPX, Puerto Rico,Culebra
CQD, Corri,Shahre-Kord
CQW, China,Wulong
CRA, Rumania,Craiova
CRD, Argentina,Comodoro Rivadavia
CRI, Bahamas,Crooked Island
CRK, Filipinas,Angeles
CRL, Belgica,Bruselas
CRM, Filipinas,Catarman
CRP, Estados Unidos,Corpus Christi
CRV, Italia,Crotone
CRW, Estados Unidos,Charleston
CRZ, Turkmenistan,Turkmenabat
CSA, Reino Unido,Colonsay
CSG, Estados Unidos,Columbus
CSK, Senegal,Cap Skiring
CSU, Brasil,
CSX, China,Changsha
CSY, Rusia,Cheboksary
CTA, Italia,Catania
CTC, Argentina,San Fernando del Valle de Catamarca
CTG, Colombia,Cartagena de Indias
CTL, Australia,Charleville
CTM, Mexico,Chetumal
CTN, Australia,Cooktown
CTS, Japon,Sapporo
CTU, China,Chengdu
CUC, Colombia,Cucuta
CUE, Ecuador,Cuenca
CUF, Italia,Cuneo
CUK, Belice,Caye Caulker
CUL, Mexico,Culiacan
CUM, Venezuela,Cumana
CUN, Mexico,Cancun
CUQ, Australia,Coen
CUR, Curacao,Willemstad
CUU, Mexico,Chihuahua
CUZ, Peru,Cuzco
CVG, Estados Unidos,Cincinnati
CVM, Mexico,Ciudad Victoria
CVN, Estados Unidos,Clovis
CVQ, Australia,Carnarvon
CVU, Portugal,Isla de Corvo
CWA, Estados Unidos,Wausau
CWB, Brasil,Curitiba
CWJ, China,Cangyuan Va Autonomous County
CWL, Reino Unido,Cardiff
CXB, Bangladesh,Cox's Bazar
CXH, Canada,Vancouver
CXI, Kiribati,Kiritimati
CXJ, Brasil,Caxias do Sul
CXR, Vietnam,Nha Trang
CYA, Haiti,Les Cayes
CYB, Islas Caiman,Cayman Brac
CYD, Belice,San Ignacio
CYF, Estados Unidos,Chefornak
CYI, Taiwan,Chiayi
CYO, Cuba,Cayo Largo del Sur
CYP, Filipinas,Calbayog
CYS, Estados Unidos,Cheyenne
CYX, Rusia,Chersky
CYZ, Filipinas,Cauayan
CZH, Belice,Corozal
CZL, Argelia,Constantina
CZM, Mexico,Cozumel
CZN, Estados Unidos,Chisana
CZS, Brasil,Cruzeiro do Sul
CZU, Colombia,Corozal
CZX, China,Changzhou
DAB, Estados Unidos,Daytona Beach
DAC, Bangladesh,Daca
DAD, Vietnam,a Nang
DAL, Estados Unidos,Dallas
DAM, Siria,Damascus
DAR, Tanzania,Dar es-Salam
DAT, China,Datong
DAU, Papua Nueva Guinea,Daru
DAV, Panama,David
DAX, China,Dazhou
DAY, Estados Unidos,Dayton
DBC, China,Baicheng
DBO, Australia,Dubbo
DBQ, Estados Unidos,Dubuque
DBR, India,Darbhanga
DBV, Croacia,Dubrovnik
DCA, Estados Unidos,Washington D. C.
DCG, Emiratos Arabes Unidos,Dubai Creek
DCM, Francia,Castres
DCY, China,Daocheng County
DDC, Estados Unidos,Dodge City
DDD, Maldivas,Dhaalu
DDG, China,Dandong
DEB, Hungria,Debrecen
DEC, Estados Unidos,Decatur
DED, India,Dehradun
DEE, Rusia,Yuzhno-Kurilsk
DEF, Corri,Dezful
DEL, India,Nueva Delhi
DEN, Estados Unidos,Denver
DEX, Indonesia,Yahukimo Regency
DFW, Estados Unidos,Dallas
DGA, Belice,Dangriga
DGE, Australia,Mudgee
DGO, Mexico,Victoria de Durango
DGT, Filipinas,Dumaguete
DHG, Rusia,Dalnegorsk
DHI, Nepal,Dhangadhi
DHM, India,Dharamsala
DHN, Estados Unidos,Dothan
DIB, India,Dibrugarh
DIE, Madagascar,Antsiranana
DIG, China,Prefectura autonoma tibetana de Deqen
DIK, Estados Unidos,Dickinson
DIL, Timor Oriental,Dili
DIN, Vietnam,ien Bien Phu
DIR, Etiopia,Dire Dawa
DIU, India,Diu
DIY, pavo,Diyarbakr
DJB, Indonesia,Jambi
DJE, Tunez,Yerba
DJG, Argelia,Djanet
DJH, Emiratos Arabes Unidos,Jebel Ali
DJJ, Indonesia,Jayapura
DJN, Estados Unidos,Delta Junction
DKS, Rusia,Dikson
DLA, Camerun,Duala
DLC, China,Dalian
DLE, Francia,Dole
